CountryCode,Language,IsOfficial
TZA,Luguru,FALSE
TZA,Makonde,FALSE
TZA,Nyakusa,FALSE
TZA,Nyamwesi,FALSE
TZA,Shambala,FALSE
TZA,Swahili,TRUE
UGA,Acholi,FALSE
UGA,Ganda,FALSE
UGA,Gisu,FALSE
UGA,Kiga,FALSE
UGA,Lango,FALSE
UGA,Lugbara,FALSE
UGA,Nkole,FALSE
UGA,Rwanda,FALSE
UGA,Soga,FALSE
UGA,Teso,FALSE
UKR,Belorussian,FALSE
UKR,Bulgariana,FALSE
UKR,Hungarian,FALSE
UKR,Polish,FALSE
UKR,Romanian,FALSE
UKR,Russian,FALSE
UKR,Ukrainian,TRUE
UMI,English,TRUE
URY,Spanish,TRUE
USA,Chinese,FALSE
USA,English,TRUE
USA,French,FALSE
USA,German,FALSE
USA,Italian,FALSE
USA,Japanese,FALSE
USA,Korean,FALSE
USA,Polish,FALSE
USA,Portuguese,FALSE
USA,Spanish,FALSE
USA,Tagalog,FALSE
USA,Vietnamese,FALSE
UZB,Karakalpak,FALSE
UZB,Kazakh,FALSE
UZB,Russian,FALSE
UZB,Tadzhik,FALSE
UZB,Tatar,FALSE
UZB,Uzbek,TRUE
VAT,Italian,TRUE
VCT,English,TRUE
VEN,Goajiro,FALSE
VEN,Spanish,TRUE
VEN,Warrau,FALSE
VGB,English,TRUE
VIR,English,TRUE
VIR,French,FALSE
VIR,Spanish,FALSE
VNM,Chinese,FALSE
VNM,Khmer,FALSE
VNM,Man,FALSE
VNM,Miao,FALSE
VNM,Muong,FALSE
VNM,Nung,FALSE
VNM,Thai,FALSE
VNM,Tho,FALSE
VNM,Vietnamese,TRUE
VUT,Bislama,TRUE
VUT,English,TRUE
VUT,French,TRUE
WLF,Futuna,FALSE
WLF,Wallis,FALSE
WSM,English,TRUE
WSM,Samoan,TRUE
WSM,Samoan-English,FALSE
YEM,Arabic,TRUE
YEM,Soqutri,FALSE
YUG,Albaniana,FALSE
YUG,Hungarian,FALSE
YUG,Macedonian,FALSE
YUG,Romani,FALSE
YUG,Serbo-Croatian,TRUE
YUG,Slovak,FALSE
ZAF,Afrikaans,TRUE
